K,edge_weights,V_r2,V_mae,V_max,th_r2,dP
1,on,0.9469777256470413,4.520783686878706,40.87483882904053,0.7524829852070803,0.47910293451563285
2,on,0.9731017585809159,3.2828679349687366,40.40408134460449,0.8792831359928954,0.5487283719043181
3,on,0.9843450941754566,2.4593980649505003,14.091551303863525,0.9384223082267739,0.24070632382110493
4,on,0.9877085316189637,1.9802413251664903,14.406740665435791,0.9505828977958987,0.263944606755931
1,off,0.947145162366795,4.525182480763907,40.7753586769104,0.7528739403272161,0.45265111726405316
2,off,0.9731687959535653,3.2825105768261533,40.43203592300415,0.8795612726976327,0.52644451285452
3,off,0.9853192846796783,2.306112624178029,15.845417976379395,0.940712697592759,0.23613258828492084
4,off,0.9916078289781715,1.4555481804741754,14.347851276397705,0.9685704742315269,0.25235466835202325
