iters_flat,iters_warm,t_flat_ms,t_warm_ms
3,3,8.590699988417327,19.103399943560362
4,3,19.88899998832494,19.030599971301854
3,3,19.581899978220463,18.65920005366206
3,3,20.242400001734495,19.136999966576695
4,3,19.995399983599782,10.568000026978552
3,3,21.203599986620247,18.618699978105724
3,3,19.702599965967238,20.017200033180416
3,3,18.814299954101443,20.182100008241832
3,3,18.969499971717596,20.042399992235005
3,3,10.073500103317201,20.316699985414743
3,3,24.054199922829866,19.137600087560713
3,3,19.781799986958504,18.849999993108213
3,3,19.07999999821186,18.831700086593628
4,3,19.57680005580187,11.230199947021902
3,3,19.482400035485625,14.317300054244697
3,3,20.033200038596988,18.949200049974024
4,3,12.739800033159554,19.791900063864887
3,3,19.476399989798665,12.17859995085746
4,3,16.753200092352927,16.41329994890839
3,3,19.03399999719113,19.0191000001505
4,3,19.87730001565069,18.61599995754659
4,3,20.119299995712936,19.16150003671646
3,3,19.206099910661578,18.945600022561848
3,3,18.703300040215254,19.22530005685985
3,3,18.982499954290688,19.212299957871437
4,3,21.249899989925325,19.28490004502237
3,3,18.87849997729063,19.077799981459975
3,3,17.32889993581921,17.555900034494698
3,3,18.885100027546287,8.522100048139691
3,3,19.064099993556738,18.404400092549622
3,3,18.987899995408952,19.183399970643222
3,3,19.70810000784695,15.557199949398637
3,3,19.465800025500357,19.07130004838109
4,3,21.886000060476363,19.897500053048134
3,3,20.324400044046342,19.014700083062053
3,3,15.136400004848838,20.09800006635487
3,3,19.384299986995757,19.10700008738786
3,3,20.205099950544536,18.858199939131737
3,3,19.870699965395033,19.0308999735862
3,3,19.205600023269653,14.501000056043267
3,3,19.12890002131462,19.802900031208992
3,3,18.86089995969087,17.59120007045567
3,3,19.49639990925789,19.204100011847913
3,3,19.180100061930716,18.98550009354949
3,3,19.962799968197942,19.01469996664673
3,3,19.37640004325658,18.44140002503991
3,3,19.537399988621473,18.65589991211891
3,3,19.292299984954298,18.887999933212996
3,3,20.583399920724332,18.628399935550988
3,3,20.59549989644438,18.937000073492527
3,3,19.918400095775723,12.91819999460131
3,3,18.655400024726987,18.860000069253147
3,3,18.887900048866868,8.270699996501207
3,3,19.783600000664592,19.360999925993383
3,3,19.06820002477616,19.1827000817284
4,3,20.172900054603815,19.276800099760294
3,3,19.092699978500605,19.92750004865229
3,3,18.77640001475811,19.51570005621761
3,3,168.66860003210604,8.324000053107738
4,3,16.413900069892406,18.805200001224875
4,3,19.85510007943958,14.415099984034896
3,3,18.811300047673285,19.420300028286874
3,3,18.923599971458316,18.91570002771914
3,3,15.3601000783965,18.667199998162687
3,3,19.15579999331385,18.951699952594936
3,3,20.3351000091061,18.873600056394935
3,3,19.108200096525252,18.63700000103563
3,3,19.236800028011203,18.94079998601228
3,3,18.64170003682375,18.900300026871264
3,3,19.098500022664666,18.582799937576056
4,3,12.607400072738528,18.963399925269186
3,3,11.662899982184172,19.350199960172176
4,3,20.070299971848726,18.754699965938926
3,3,16.49629999883473,19.008000032044947
3,3,17.05009990837425,20.236799959093332
3,3,19.68160003889352,18.84919998701662
3,3,19.842399982735515,18.869300023652613
3,3,19.16599995456636,20.48920001834631
